country,x_multiplier_choice,tlb,original_x_multiplier_choice
albania,1,,1
argentina,1,,1
armenia,1,,1
australia,0.80,,1.2
austria,1,,1
azerbaijan,1,,1
belarus,1,,1
belgium,1,,1
bolivia,1,,1
brazil,1.4,,1.4
bulgaria,1,,1
canada,1,,1
chile,2,,2
china,1,,1
colombia,1,,1
croatia,1,,1
cyprus,1,,1
czech_republic,1,,1
denmark,1,,1
ecuador,1,,1
egypt,1,,1
estonia,1,,1
finland,1,,1
france,0.45,,0.5
germany,1.2,,0.3
greece,1,,1
hong_kong_sar_china_,0.15,,0.4
hungary,1,,1
iceland,1,,1
indonesia,0.7,,0.7
india,0.8,,0.8
iran,1,,1
ireland,1,,1
israel,1,,1
italy,0.4,,0.4
japan,0.25,,0.25
kazakhstan,1,,1
kosovo,1,,1
latvia,1,,1
lithuania,1,,1
luxembourg,1,,1
macau_sar_china_,1,,1
malaysia,0.2,2015Q1,0.35
malta,1,,1
mauritius,1,,1
mexico,0.5,,1
moldova,1,,1
mongolia,1,,1
montenegro,1,,1
morocco,1,,1
netherlands,1,,1
new_zealand,1,,1
north_macedonia,1,,1
norway,1,,1
oman,1,,1
paraguay,1,,1
philippines,1.5,,1.5
poland,1,,1
portugal,1,,1
romania,1,,1
russia,1,,1
saudi_arabia,1,,1
serbia,1,,1
singapore,2.20,,2
slovakia,1,,1
slovenia,1,,1
south_africa,1,,1
south_korea,0.32,,0.8
spain,1,,1
sri_lanka,1,,1
state_of_palestine_west_bank_and_gaza_,1,,1
sweden,1,,1
switzerland,1,,1
taiwan,1,,1
tajikistan,1,,1
thailand,0.1,,0.18
tunisia,1,,1
turkey,1,,1
ukraine,1,,1
united_kingdom,0.3,,0.3
united_states,1.05,,1
uruguay,1,,1
venezuela,1,,1
vietnam,1,,1
